AAAS247,"[b'AAAS' b'CLTR' b'ENGL' b'WRTG' b'HIST' b'AHST' b'CSC' b'PSCI' b'MUSC'
 b'RELC']","[0.94658095 0.12014439 0.00491057 0.00374516 0.00331288 0.00294885
 0.00251577 0.00251481 0.0023183  0.00175257]"
AAAS256,"[b'ENGL' b'AAAS' b'HIST' b'GSWS' b'CLTR' b'AHST' b'WRTG' b'PSCI' b'RELC'
 b'GRMN']","[7.9456925e-01 6.4205688e-01 1.5529617e-03 1.1355922e-03 1.0489024e-03
 9.6677773e-04 8.8406244e-04 8.2495913e-04 6.4693659e-04 2.4169692e-04]"
AAAS280,"[b'AAAS' b'CLTR' b'FREN' b'WRTG' b'ENGL' b'HIST' b'PSCI' b'PHIL' b'MUSC'
 b'CASC']","[6.9126099e-01 6.8084568e-01 2.2121701e-01 1.3299849e-03 1.0964271e-03
 1.0688510e-03 8.0490467e-04 7.9888443e-04 6.9335988e-04 6.2983722e-04]"
AAAS282,"[b'PSCI' b'ENGL' b'CLTR' b'HIST' b'RELC' b'AAAS' b'AHST' b'PHIL' b'GSWS'
 b'ATHS']","[0.95328516 0.01393287 0.00695637 0.00533378 0.00519623 0.00513194
 0.00406307 0.00266958 0.00234953 0.00169833]"
AAAS298,"[b'AAAS' b'ENGL' b'GSWS' b'CLTR' b'ANTH' b'HIST' b'AHST' b'DANC' b'WRTG'
 b'CSC']","[0.8610688  0.00372679 0.00277036 0.00213381 0.00165502 0.00153387
 0.00139601 0.00111613 0.0011049  0.00107326]"
AAAS327,"[b'AAAS' b'DANC' b'MUSC' b'ENGL' b'WRTG' b'HIST' b'PSCI' b'GSWS' b'FREN'
 b'CLTR']","[9.4997275e-01 6.7252509e-02 3.2139849e-02 2.3213241e-03 2.9549893e-04
 4.9460083e-05 4.8106722e-05 3.8528386e-05 3.7427850e-05 3.7366262e-05]"
AAAS412,"[b'AAAS' b'CLTR' b'FREN' b'WRTG' b'ENGL' b'HIST' b'PSCI' b'PHIL' b'MUSC'
 b'CASC']","[6.9126099e-01 6.8084568e-01 2.2121701e-01 1.3299849e-03 1.0964271e-03
 1.0688510e-03 8.0490467e-04 7.9888443e-04 6.9335988e-04 6.2983722e-04]"
AAAS447,"[b'AAAS' b'CLTR' b'ENGL' b'HIST' b'PSCI' b'CSC' b'AHST' b'WRTG' b'SPAN'
 b'RELC']","[0.8638888  0.8543955  0.01265492 0.00771141 0.00710579 0.00700473
 0.00635137 0.00468185 0.00307884 0.00307499]"
AHST100,"[b'AHST' b'GSWS' b'ENGL' b'WRTG' b'MUSC' b'PSCI' b'DANC' b'FMST' b'DMST'
 b'AAAS']","[0.72722113 0.71693635 0.00971288 0.00421025 0.00333488 0.00274587
 0.00176425 0.00126615 0.00123914 0.00121035]"
AHST102,"[b'AHST' b'ENGL' b'GSWS' b'HIST' b'DMST' b'PSCI' b'CLTR' b'WRTG' b'ANTH'
 b'FMST']","[8.6036831e-01 1.7094450e-02 5.3632651e-03 1.7811963e-03 1.7463346e-03
 1.3298315e-03 1.3274861e-03 1.1156241e-03 7.3226634e-04 6.6422252e-04]"
